date,crop,demand_kg,price_per_kg
2026-08-01,Tomato,420,30
2026-08-02,Tomato,435,30
2026-08-03,Tomato,450,29
2026-08-04,Tomato,460,29
2026-08-05,Tomato,475,28
2026-08-06,Tomato,490,28
2026-08-07,Tomato,505,28
2026-08-08,Tomato,520,27
2026-08-09,Tomato,535,27
2026-08-10,Tomato,550,27
2026-08-11,Tomato,565,26
2026-08-12,Tomato,580,26
2026-08-13,Tomato,595,26
2026-08-14,Tomato,610,25
2026-08-15,Tomato,625,25
2026-08-16,Tomato,640,25
2026-08-17,Tomato,650,24
2026-08-18,Tomato,665,24
2026-08-19,Tomato,680,24
2026-08-20,Tomato,695,23
2026-08-21,Tomato,710,23
2026-08-22,Tomato,725,23
2026-08-23,Tomato,740,22
2026-08-24,Tomato,755,22
2026-08-25,Tomato,770,22
2026-08-26,Tomato,785,21
2026-08-27,Tomato,800,21
2026-08-28,Tomato,815,21
2026-08-29,Tomato,830,20
2026-08-30,Tomato,845,20
